OBV3DaySlope,OBV4DaySlope,OBV5DaySlope,OBV10DaySlope,AD3DaySlope,AD4DaySlope,AD5DaySlope,AD10DaySlope,SlowStochastic,SlowSto1DaySlope,SlowStoSlope,VIXClose,VIX1DaySlope,VIX1DayPercentSlope,VIXSlowStochastic,VIXSlowSto1DaySlope,BuySell
-115280000,429337000,1087123000,-16933006.06,589048034.4,912161621.5,1389466430,17143599.61,83.89704419,17.31017286,3.340172793,11.91,-1.05,-8.101851852,1.818181818,-16.27227044,1
2768470000,1036486000,1015642000,-28754890.91,1661447468,850197681.1,978556856.9,9185846.916,88.97614452,5.079100334,3.668154123,12.03,0.12,1.007556675,5.6726094,3.854427582,1
2578040000,2655946000,1538798000,-21396654.55,1389033030,1665808932,1123521919,19546500.05,98.13231534,9.156170821,5.757902976,11.36,-0.67,-5.569409809,0,-5.6726094,1
2653650000,2659758000,2684456000,110325369.7,2328470139,1839368056,1873773649,143016018.2,99.6221458,1.489830457,8.03058201,11.51,0.15,1.320422535,2.311248074,2.311248074,1
-32715000,990357000,1548860000,195418557.6,893364044.4,1392846300,1378652858,199395650.8,95.32474214,-4.297403663,3.350139717,11.68,0.17,1.476976542,4.930662558,2.619414484,1
-221125000,-1249909000,-1746156000,-343021618.2,219954708.4,-168388742.3,315936677.2,-216598128.8,81.52277189,5.765242339,-5.165358768,12.18,-0.38,-3.025477707,31.86813187,-8.351648352,1
2762180000,1004987000,-89573000,-340435527.3,1490967190,630194876.4,234552520,-287850511,83.06650547,1.543733573,-3.486352878,12.65,0.47,3.858784893,42.1978022,10.32967033,1
2948695000,2841299000,1643464000,-221525848.5,1487570349,1587093910,981203461.1,-262322135.1,87.07828213,4.011776665,0.275462151,12.06,-0.59,-4.664031621,29.23076923,-12.96703297,1
8505000,-1119156000,-253609000,271852012.1,-38703060.45,154291372.3,648700387.1,149046609.9,92.02803598,8.811633659,-3.109565379,11.59,-0.54,-4.451772465,30.12048193,-13.01204819,1
154315000,-592252000,-8531000,-248825860.6,-853047095.8,-933720919.3,-370934310.9,-60473316.54,5.530444261,-5.465342533,-3.150243197,16.66,0.289999,1.771527076,87.51714678,3.978038409,1
-164120000,640221000,-19459000,-106266297,379571941.4,105296690,-267933787.6,18544943.36,30.95478736,25.4243431,-0.11606258,15.77,-0.89,-5.342136855,75.30864198,-12.2085048,1
2843585000,1027223000,1166336000,86016484.85,807945275.2,171299770.8,57873660.05,115916752.1,37.1089022,6.154114838,7.758329449,14.23,-1.54,-9.765377299,54.18381344,-21.12482853,1
86595000,1201130000,537707000,162303812.1,-595667128.7,345399337,75150980.13,176340039.5,33.44876537,-3.660136835,7.648441508,14.13,-0.1,-0.702740689,52.81207133,-1.371742112,1
53160000,606193000,1176017000,267171103,949828815.6,232731414.5,583976210.6,247228454.2,48.42391038,14.97514501,8.828091024,12.9,-1.23,-8.704883227,35.93964335,-16.87242798,1
2663740000,1086536000,1110766000,338383666.7,2288484873,1542822284,867092860.7,257824061.5,58.19193297,9.768022593,6.57892994,12.42,-0.48,-3.720930233,29.35528121,-6.58436214,1
-206960000,952176000,471228000,264205309.1,1595241641,1815007888,1475725157,234153540.3,58.05338659,-0.13854638,6.663213639,13.15,0.73,5.877616747,39.36899863,10.01371742,1
-192610000,364934000,947060000,225820775.8,1577862760,1780994005,1865587381,254617841.8,77.31205614,19.25866955,9.735605776,12.32,-0.83,-6.311787072,27.98353909,-11.38545953,1
-2991550000,-1233080000,-52284000,155284042.4,-161054006.1,640557744.6,1172582450,36998022.82,74.58404438,-1.3253443,-1.764242067,14.12,0.81,6.085649887,45.49763033,12.79620853,1
